awardee_name,award_amount,original_description,updated_description
"Economic and Community Development Institute, Inc.",97406.8,"When COVID-19 hit, Hawaiian supply chains were severely disrupted, resulting in empty store shelves. Residents became acutely aware of the need to re-establish resilient and secure local food systems across the Hawaiian Islands. In response to this disruption, momentum has developed with key players to rebuild the state’s food system, including farmers/producers, customers, institutions, policy makers, and a diverse funder group. During the pandemic, food hubs stepped in to flexibly fill voids in each locality and demonstrated competence and value to the community and members of the food value chain. Thus, the Hawaii Food Hub Hui, in partnership with the Hawaii Good Food Alliance, is building individual and collective capacity in Hawaii’s food hubs to ensure maximum sales for Hawaii’s numerous small and mid-size farmers and producers, and equitable access to fresh, healthy, local food for all. The primary project goal is to increase local food sales via Hawaii’s food hubs. This project aims to maximize the replicability of the proposed project in other regions, communities, and agricultural systems by 1) improving individual food hubs’ economic viability by supporting processing, aggregation, and distribution of local food products that are marketed throughout Hawaii; 2) strengthening relationships and cooperation within the Hawaii Food Hub Hui by facilitating regional value chain coordination; and 3) promoting new business opportunities and marketing strategies to increase public awareness of Hawaii’s food hubs.","The Hawaii Food Hub Hui, in partnership with the Hawaii Good Food Alliance, is undertaking a vital project to bolster Hawaii’s food system following significant disruptions experienced during the COVID-19 pandemic. The primary purpose of this project is to increase local food sales through the enhancement and expansion of Hawaii’s food hubs, supporting farmers and producers across the islands. This initiative involves the development of infrastructure and resources designed to maximize the operational capacity of these hubs, focusing on processing, aggregation, and distribution activities for a broad range of local agricultural products. Anticipated outcomes include a substantial increase in the volume of food sales generated by participating food hubs, contributing to greater access to fresh, healthy food for consumers and bolstering the economic viability of Hawaii’s agricultural sector, particularly benefiting farmers and ranchers. The project aims to strengthen regional value chain coordination within the Hawaii Food Hub Hui, facilitating improved relationships among stakeholders involved in the movement of food products. Ultimately, the project seeks to increase public awareness of Hawaii’s food hubs and the positive impact they have on the local food system, benefiting all involved in the production and distribution of food across the state."
Chester County Economic Development Foundation,100000.0,"Though the “Exploring Local Farm and Food Product Delivery in Southeastern PA” project, Chester County Economic Development Foundation and ACDS LLC, a regional agriculture-focused consulting firm, will conduct a feasibility study in late 2022 to determine cost-effective and timely delivery routes of farm and food products from Berks and Chester Counties to Greater Philadelphia area grocers and restaurants. At least one new distribution model will be recommended that not only meets the delivery needs of at least 15 producers, but also ensures profitability of the farmers and artisans is preserved. The model will increase the market opportunities, sales, and profitability of farmers and food artisans in the region, and serve as a blueprint for a future project that builds the business plan for the delivery network. Partners, the Chester County Ag Development Council and the Berks County Department of Agriculture, will assist in marketing the network and recruiting farmers and artisans to the project
","Chester County Economic Development Foundation, in collaboration with ACDS LLC, will conduct a feasibility study targeting the development of a new distribution model for farm and food products originating from Berks and Chester Counties to serve the Greater Philadelphia area’s grocers and restaurants. The primary goal of this project is to determine cost-effective and timely delivery routes, ultimately supporting at least fifteen producers, including farmers and food artisans, and ensuring the preservation of profitability for these stakeholders. This study will assess various logistical options and recommend a model that expands market opportunities and sales potential for these producers. The anticipated outcome is a robust distribution network that efficiently connects agricultural products with consumers in the Philadelphia region, thereby increasing the volume of sales and enhancing the economic viability of participating farms and food processing operations. The beneficiaries of this project include the farmers and ranchers who produce these goods, as well as the retailers and restaurants that utilize these products. Furthermore, the project seeks to strengthen the overall local food system by creating a streamlined pathway for distributing goods from the agricultural sector to the market. This distribution network is expected to improve access to fresh, locally sourced food products for a broader consumer base. The project will analyze operational efficiencies to minimize costs and optimize delivery routes, with the aim of creating a sustainable and scalable model for future expansion."
Texas Tribal Buffalo Project,96700.0,Our project purpose is to establish data that will provide a greater understanding of the current health and food access needs specific to the Indigenous communities in South Central Texas. Reports from this feasibility study will inform future programming and services provided by the Texas Tribal Buffalo Project to develop innovative approaches to combating food insecurity and improving the overall health and wellbeing across the region within the Indigenous communities.,"The Texas Tribal Buffalo Project’s purpose is to establish data that will provide a greater understanding of the current health and food access needs specific to the Indigenous communities in South Central Texas. This project will generate reports detailing these needs, which will subsequently inform the development of innovative approaches to combating food insecurity and improving the overall health and wellbeing across the region within the Indigenous communities. The project anticipates a detailed assessment of existing resources and challenges related to food availability for farmers, ranchers, and other stakeholders. The anticipated outcome is the creation of actionable insights to guide the Texas Tribal Buffalo Project’s programming and services. Ultimately, this work will benefit the Indigenous communities by supporting efforts to enhance access to locally produced agricultural products, contributing to improved nutrition and overall wellness for those reliant on regional food systems. The project will support the development of strategies for optimizing food distribution networks and improving the availability of agricultural products for consumers within these communities, supporting the vital role of local food producers. This focused data collection will empower the Texas Tribal Buffalo Project to design solutions tailored to the specific requirements of the Indigenous communities in South Central Texas."
"Midwest Organic and Sustainable Education Service, Inc. aka Marbleseed",76064.93,"The project will convene all the stakeholders to identify and develop a comprehensive, holistic framework for solving the problem of insufficient meat processing options on a regional scale. The study will focus on solutions that emphasize collective ownership, equitable access, and widely shared benefit for farmers, processors, and workers. It will connect small meat processors and farmers to ensure access to processing facilities and financial sustainability for the meat supply chain in the region. It will explore alternative ownership structures for processors that are looking to retire including employee-owned structures and cooperatives, to preserve and expand current small meat processing infrastructure and jobs in rural communities. The outcomes will include designing a viable, detailed business model and necessary legal structure, determining the capital necessary to actualize the plan, and working with state agencies to address any regulatory barriers to implementation as a replicable model. It is the collaborators’ intent to make this feasibility study and resulting business plan and model widely available and adaptable beyond Northwest Wisconsin, as it addresses an urgent need for small, grass-based livestock producers nationally.","The project will address the critical need for enhanced meat processing options on a regional scale, focusing on the development of a comprehensive and holistic framework that prioritizes collective ownership, equitable access, and shared benefit for farmers, processors, and workers involved in the meat supply chain. This initiative seeks to connect small meat processors and farmers, ensuring access to processing facilities and fostering financial sustainability across the region’s meat supply network. Specifically, the project will explore alternative ownership structures for processors approaching retirement, including employee-owned structures and cooperatives, with the goal of preserving and expanding existing small meat processing infrastructure and the associated jobs within rural communities. The anticipated outcomes include the design of a viable and detailed business model, coupled with the determination of the necessary capital to implement the plan and collaboration with state agencies to mitigate any regulatory barriers to its successful execution. Ultimately, this project intends to create a replicable model that benefits farmers, ranchers, and processors nationally, supporting local food systems. The project will contribute to strengthening the regional economy by enabling the continued operation of small meat processing businesses and supporting the livelihoods of those who depend on them. The project aims to ensure that the necessary resources and infrastructure are in place to meet the demands of local markets and consumers, facilitating the efficient distribution of locally produced meat products."
Universal Schedule and Booking LLC,100000.0,"This project will build upon several years of experience in researching local agricultural communities with a new planning project to determine the feasibility of a fulfillment platform that enables local/regional producers to promote and sell their products to consumers directly in a scalable, cost-efficient manner. The applicant will test business models based on proprietary technology to include utilization of value-added approaches to data and actionable datasets to support the platform commercially. The goal of this planning project is to build a case to develop a modern marketing, promotional, and fulfillment hub, supported through a scalable technology platform that curates local small and mid-size farm products in front of the modern consumer. We expect to see an increase in demand for local and regional food products, increase in opportunities to support future local food business development, and reduction in labor and costs associated with marketing.
","This project will develop a modern marketing, promotional, and fulfillment hub designed to connect local small and mid-size farm products with consumers in a scalable and cost-efficient manner. The core of this initiative involves the creation of a proprietary technology platform alongside value-added approaches to data and actionable datasets, intended to support the commercial viability of the platform. Anticipated outcomes include an increase in demand for locally and regionally produced agricultural products, alongside the generation of opportunities to support future local food business development among farmers and ranchers. The project’s primary beneficiaries will be the local agricultural community, encompassing farmers, ranchers, and food processors who will gain access to expanded market channels. This hub will streamline the process of promoting and distributing their goods, reducing the labor and costs associated with traditional marketing methods. The goal is to establish a system that effectively curates these products, presenting them to modern consumers seeking fresh, regional food sources. Ultimately, this project aims to enhance market access and overall economic activity within the local agricultural sector, facilitating the efficient movement of goods from production to point of sale."
Rumiano Cheese Company,750000.0,"California produces nearly half of the nation’s fruits and vegetables and is the top dairy state, yet 1 in 5 Californians — about 8 million — struggle with food insecurity. According to the California Department of Education, in the 2022‐2023 school year, 3,075,721 K‐12 students qualified for free lunch, relying on school districts for at least one meal a day. California is also the first state to mandate schools provide a nutritiously adequate breakfast and lunch to every student, regardless of income; this current school year is the first for implementation. This increased demand for school‐provided meals creates a strong need for California school districts to source nutritious food, creating an opportunity for local producers, processors, and intermediaries to meet this demand. However, barriers to serving these institutional buyers exist – especially for small farms – and must be remedied. As such Rumiano Cheese Company, an agricultural business that aggregates, processes, and markets value‐added organic dairy products made from milk produced by 27 Northern California dairy producers, seeks to boost Farm to Institution sales of locally‐produced organic dairy products through activities that will expand the local food system’s capacity to produce, process, and distribute value‐added organic dairy products into Northern California schools. Activities will also include creating and delivering engaging educational content for school foodservice staff and students to support long‐term increased consumption. Intended beneficiaries include 49,460 school‐aged children and 27 Northern California dairy producers; this project’s primary expected outcome is increased farm to institution sales of locally‐produced organic value‐added dairy products","Rumiano Cheese Company is undertaking a project to increase farm to institution sales of locally-produced organic dairy products within Northern California schools. This initiative focuses on sourcing nutritious food for 49,460 school-aged children and 27 Northern California dairy producers, aiming to address food insecurity within the state’s educational system. The project involves the aggregation, processing, and marketing of value-added organic dairy products produced by these regional dairy producers, with the goal of expanding the local food system’s capacity to meet the increased demand created by the state’s mandate for breakfast and lunch provision in all schools.  Specifically, Rumiano Cheese Company will support the producers in supplying these institutions with their organic dairy products. The anticipated outcome is a measurable rise in farm to institution sales, contributing to a more robust local food supply chain and improving access to wholesome foods for students.  This project directly supports the producers by connecting them to a key market channel, promoting the consumption of locally produced organic dairy items, and strengthening the overall agricultural economy of Northern California."
Pivot Produce,739500.0,"Pivot Produce’s proposed project, Arizona Planned Production and Logistics Expansion, or APPLE, will utilize the successful southern Arizona F2I model to increase local foods sales to Maricopa County-based institutions. The proven ""F2I"" model to be replicated uses a value chain approach to coordinate farmers’ crop planning with institutional purchasing demand. APPLE will 1) Provide in‐person training on crop planning, food safety, and value‐added products for 15 small farmers; 2) Provide transportation of produce from farms to markets; and 3) Expand and create connections to institutional markets including hospitals, schools, and food banks, and implement purchasing commitments. The project will reduce on‐farm food waste by 20%; expand and create 10 institutional markets, increasing access to locally grown produce by 30%, and increase sales by 30% for a total of 35 small farmers in six counties in southern and central Arizona.","Pivot Produce’s proposed Arizona Planned Production and Logistics Expansion, or APPLE, aims to significantly increase sales of locally grown produce to institutions within Maricopa County by replicating the successful southern Arizona F2I model. This project will establish connections between 35 small farmers across six counties – southern and central Arizona – and 10 new institutional markets, including hospitals, schools, and food banks. The core of the APPLE project involves a value chain approach, coordinating farmers’ crop planning directly with the purchasing demands of these institutions. Specifically, Pivot Produce will provide transportation services, ensuring the efficient movement of produce from farms to these markets, and will implement purchasing commitments to guarantee a stable supply. Anticipated outcomes include a reduction of on-farm food waste by 20% and a 30% increase in sales for participating farmers. The primary beneficiaries of this initiative include the farmers, processors, and other stakeholders involved in the production and distribution of locally grown agricultural products. The project seeks to expand access to locally produced goods for consumers within the Maricopa County region, achieving a 30% expansion of available produce supply. By streamlining logistics and building direct market relationships, APPLE intends to strengthen the local food system and support the viability of small agricultural businesses."
Public Health Institute,742141.87,"Local farmers are vital to the health of their communities by growing healthy local produce, employing community members, and building community resilience. Despite these contributions, they face challenges securing institutional contracts due to preference for large national firms presenting lowestcost
bids. Foodshed, a farmer-owned aggregation and distribution cooperative in San Diego, works at
the intersection of farm viability and climate-smart practices to promote local food equity. Foodshed
supports 60 small farms—68% are socially disadvantaged and BIPOC producers—and distributes 80% of their produce to historically underserved communities. Despite these strides, their efforts are exclusively grant-funded.
To ensure financial viability, commercial and institutional contracts must be established. This backdrop
comes as the “food as medicine” movement is gaining traction within healthcare and local government,
providing new funding opportunities, including Medi-Cal’s CalAIM Medically Supportive Food & Nutrition initiatives. The food as medicine movement also presents a promising opportunity for
promoting health equity by addressing food and nutrition insecurities, which are root causes of chronic
diseases that contribute to 50% of deaths in San Diego County. The Public Health Alliance of Southern California (Alliance) will cultivate partnerships and help establish contracts between farms and
institutions to support local farmers. The Alliance is a coalition of 11 local health jurisdictions with deep expertise in health, food systems, equitable contracting processes, and transforming data into action. The Alliance is expertly positioned to transform the connections between farmers and healthcare institutions to support a resilient local food system and enhance community health equity.","Foodshed is undertaking a critical project to ensure the long-term viability of its operations and expand its impact within San Diego County. The project focuses on establishing commercial and institutional contracts with local farms, leveraging the growing “food as medicine” movement and related funding opportunities, including those presented by Medi-Cal’s CalAIM Medically Supportive Food & Nutrition initiatives. This initiative will support the procurement of goods and services, specifically fostering connections between local farms – representing 60 small farms, 68% of which are operated by socially disadvantaged producers – and healthcare institutions, as well as other key stakeholders. The anticipated outcome is the expansion of produce distribution to historically underserved communities, with Foodshed currently distributing 80% of the farms’ produce to these communities. This project directly benefits farmers, consumers, ranchers, and processors within the region, aiming to increase access to locally produced agricultural products and address food and nutrition insecurities that contribute to significant health challenges. By securing these contracts, Foodshed intends to bolster the resilience of the local food system and, ultimately, enhance community health outcomes, particularly given that 50% of deaths in San Diego County are attributed to chronic diseases. The Alliance, a coalition of 11 local health jurisdictions, will be instrumental in navigating equitable contracting processes and transforming data into actionable insights, solidifying Foodshed’s role as a central component of a resilient local food system and a driver of improved community well-being."
Springfield Community Gardens,748942.38,"The purpose of the project is to develop, coordinate, and expand local and regional food business enterprises to help increase access to and availability of locally and regionally produced agricultural products. This project addresses the needs of small scale, under-resourced and socially disadvantaged farmers in the region who often struggle to compete with large scale producers by providing direct lines and networks to commercial and institutional sale opportunities. The program focuses on supporting the processing, aggregation, distribution, and storage of local and regional food products by providing refrigerated transportation, assisting farms to meet institutional buying standards and providing indirect producer to consumer marketing. SCG will serve as the lead agency for the project and as an intermediary organization to benefit small farm operations serving local markets. SCG is already aggregating from farmers and this project will build upon this established foundation. The project will impact an anticipated new and existing 25 SCG network participating farmers/producers, 18 institutional/network buyers (including one new anticipated local/regional distributor), 300 additional local/regional farmers who will have access to institutional food safety workshops, and 130,000 consumers reached within the community at large through an advertising campaign designed to promote local food. These figures, after initial project pilot funding, are anticipated to grow continually and produce a project that is self-sustainin g. The benefits to farm and ranch operations serving local markets include an increase in sales, in kind marketing provided by the project, food safety training, and a reduction in transport costs.","SCG will lead a project focused on developing and expanding local and regional food business enterprises to increase access to and availability of locally and regionally produced agricultural products. This project will achieve this by supporting the processing, aggregation, distribution, and storage of local and regional food products, including procuring refrigerated transportation and assisting farmers to meet institutional buying standards, alongside providing indirect producer to consumer marketing. The anticipated outcomes include a positive impact on approximately 25 SCG network participating farmers/producers, 18 institutional/network buyers including one new anticipated local/regional distributor, and reaching 130,000 consumers within the community through a targeted advertising campaign. The project specifically intends to benefit farmers and ranchers serving local markets through increased sales, in-kind marketing support, and reduced transport costs. Furthermore, this project will provide access to food safety workshops for 300 additional local/regional farmers. The overall goal is to foster a sustainable system supporting these stakeholders and their production. SCG’s existing aggregation activities will serve as the foundation for this expansion, creating a network designed to maximize the reach of local food producers. The anticipated growth of the project, following initial pilot funding, demonstrates a commitment to a self-sustaining model."
North Dakota Rural Electric Cooperative Foundation,173117.8,"North Dakota’s food supply chain capacity is shrinking as established suppliers reduce their territories and close distribution facilities. This has significant adverse impacts on the state’s school districts and other institutional buyers, especially in rural counties. The North Dakota Rural Electric Cooperative Foundation (NDRECF), working with community partners, is addressing this problem by anchoring local producers and processors in regional food hubs, and connecting those hubs in the near term to institutional buyers such as school districts.
For a decade, NDRECF has engaged producers, intermediaries, buyers, government entities, and economic development agencies to develop solutions and test innovative approaches to improving food access across the state. In 2022, NDRECF convened stakeholders in meetings to consider developing a statewide network of food warehouses serving both first mile (aggregation, value added processing) and last mile (distribution, farm-to-school, and pantry support) needs. The strategy that emerged includes establishing a pilot facility in Minot as the first step toward a network of food hubs across North Dakota.
The project has significant community support, including collaborations with Strengthen ND, Community Crossroads Advisors, Great Plains Food Bank, Foundation for Agricultural and Rural Resources Management and Sustainability (FARRMS), and the Mandan, Hidatsa, and Arikara Nation (MHA).
Project deliverables include quantifying demand, matching demand to local producers and processors, establishing the facility operating entity, creating the initial design and layout, and selecting a site for construction or renovation.
","North Dakota’s Rural Electric Cooperative Foundation is undertaking a critical project to address shrinking food supply chain capacity across the state, significantly impacting farmers, ranchers, processors, and stakeholders reliant on institutional buyers, particularly school districts in rural counties. The project’s core objective is to establish a pilot facility in Minot, marking the first step towards a statewide network of food hubs designed to fulfill both first mile (aggregation and value-added processing) and last mile (distribution, farm-to-school, and pantry support) needs. This initiative will involve the purchase and development of a facility, including the creation of an initial design and layout, and the selection of a suitable site for construction or renovation. Anticipated outcomes include quantifying demand for locally produced goods and effectively matching that demand with regional producers and processors. The project’s ultimate goal is to strengthen access to food for communities throughout North Dakota. The primary beneficiaries of this work include those involved in food production and processing, as well as the school districts and other institutional buyers who currently rely on these local resources. North Dakota’s Rural Electric Cooperative Foundation is working in collaboration with key partners such as Strengthen ND, Community Crossroads Advisors, Great Plains Food Bank, Foundation for Agricultural and Rural Resources Management and Sustainability (FARRMS), and the Mandan, Hidatsa, and Arikara Nation (MHA) to achieve these outcomes."
MoGro Mobile Grocery,676795.2,"Our project -- Advancing Agricultural Markets for Provider Prescribed Produce (AAMPPP) -- purpose is to strengthen market ties between local producers in New Mexico and large health care institutions. Key short‐term outcomes include doubling local purchasing and increasing market stability for producers. In the long‐term, project success will include identifying local food investments as meaningful preventative healthcare strategies and cost‐saving measures for institutions and insurance providers.
AAMPPP is a partnership between MoGro Mobile Grocery, sub‐awardee Presbyterian Healthcare Services (PHS), and eight local producer participants.  MoGro provides crucial supply chain interventions with cold storage, product pickup, delivery to new rural access points, and coordination and relationship building between producers and HCPs. PHS provides an extensive patient network, (serving 1 in 2 New Mexicans), an advanced patient referral system (EPIC) that integrates referrals for local food, and a wide and relevant audience for data dissemination. Eight producers provide multi‐ generation expertise in growing nutritious food and strong dedication to feed community members who most in need.
Major activities include purchase agreements, improved food safety plans, and coordination activities to create bonds between producers and institutions, and data dissemination to other major healthcare institutions and insurance providers. The primary beneficiaries are 20 New Mexico producers who farm an average of 5‐10 acres, and 5,000 New Mexico families, 90 percent of whom currently face food insecurity. Secondary beneficiaries are 20 additional producers, 51 New Mexico health clinics, and more than 500 healthcare professionals who will be able to provide more comprehensive care to their patients.","Advancing Agricultural Markets for Provider Prescribed Produce (AAMPPP) is a project designed to strengthen market connections between local producers in New Mexico and large healthcare institutions. This initiative will focus on purchasing fresh produce from eight local producers, averaging 5-10 acres in size, utilizing interventions such as cold storage, product pickup, delivery to new rural access points, and coordination activities to foster relationships between these farmers and healthcare providers. Anticipated outcomes include doubling local purchasing volume and establishing greater market stability for the producers involved, ultimately leading to the identification of local food investments as meaningful preventative healthcare strategies and cost-saving measures for institutions and insurance providers. The primary beneficiaries of the project are 20 New Mexico producers and 5,000 New Mexico families who currently face food insecurity, with these consumers receiving access to fresh, nutritious produce. Secondary beneficiaries include 20 additional producers, 51 New Mexico health clinics, and over 500 healthcare professionals who will be able to provide more comprehensive care to their patients. This project aims to directly support the livelihoods of these farmers while simultaneously improving access to healthy food options for a significant portion of the New Mexico population. The project seeks to create a robust supply chain that benefits both producers and the healthcare system, facilitating a collaborative approach to improving community health outcomes."
Farm Generations Cooperative,726994.22,"Connecting Hudson Valley Farmers to the Culinary Institute of America (CIA) with an Online Wholesale Marketplace, will bring together agricultural producers, the world’s premier culinary college, and the Farm Generations Cooperative to dramatically increase the amount of local food purchased by the CIA and other regional institutions. 

This project accomplish this goal with 1) research and a local procurement pilot at the CIA, and 2) a new online marketplace to facilitate the sourcing logistics, billing, supply-demand planning, and inventory challenges faced by producers and the CIA. 

Agricultural producers, CIA faculty, administrators, and procurement staff will be involved in every stage of the project: from identifying challenges, to clarifying technical specifications, and ultimately using the new online wholesale marketplace to significantly increase the amount of local food purchased by the CIA. The deliverables include 1) a public summary of a needs assessment focused on increasing local food procurement at CIA; 2) a collaboratively-written product specification for an online wholesale marketplace; 3) a marketplace application that will be tested by CIA and producer collaborators; 3) a public report on the impact of CIA’s local food procurement pilot on the regional food economy; 4) release of the online wholesale marketplace for public use nationwide.

This project will result in an appropriate, innovative, affordable, and cooperatively-owned technical solution to the nationwide challenge of facilitating farm-to-institution sales. The projects team of engineers, producers, and chefs is uniquely suited to deliver technology that will benefit the Hudson Valley region and institutions nationwide.","Hudson Valley Farmers to the Culinary Institute of America (CIA) with an Online Wholesale Marketplace will dramatically increase the amount of local food purchased by the CIA and other regional institutions, addressing a critical need for direct producer-to-institution sales. This project will accomplish this goal through a phased approach, beginning with research and a local procurement pilot at the CIA, followed by the development and implementation of a new online marketplace specifically designed to facilitate sourcing logistics, billing, supply-demand planning, and inventory challenges faced by farmers and the CIA. The marketplace will support a collaborative network of producers, CIA faculty, administrators, and procurement staff, allowing for optimized sourcing of agricultural products. Anticipated outcomes include a significant increase in the volume of locally sourced food utilized by the CIA and a streamlined operational process for participating farmers. The project will directly benefit farmers, ranchers, processors, and other stakeholders within the Hudson Valley region and beyond, creating greater market access for their goods. Ultimately, this initiative aims to establish a robust, nationwide platform that connects producers with institutions, promoting a more efficient and sustainable food system. The successful completion of this project will result in a fully functional and publicly available online marketplace, offering a technologically-driven solution to a widespread challenge in the food industry."
"Global Growers Network, Inc.",749250.0,"The Global Growers Local Markets Project will expand its sales program to connect farmers and buyers through a variety of distribution channels. Key activities include: developing marketing plans, hosting agritourism events, creating on-farm market access points, facilitating aggregation and distribution, making improvements to aggregation and distribution infrastructure, introducing farmers to a variety of record-keeping technologies, connecting farmers with food safety and market readiness resources, and achieving Good Agricultural Practices (GAP) certification. Deliverables and expected outcomes include: a refreshed marketing plan based on LFPP Planning Grant recommendations, improved aggregation and storage systems at two locations, reductions in on-farm food waste, improved use of technology, improved food safety practices, facilitation of sales between farmers and local/regional buyers at a variety of scales and market access points, strengthened markets for local produce, and increased viability of small-scale farms. The primary beneficiaries are beginning, small-scale, and historically underserved farmers (refugees, immigrants, and farmers of color). The project also benefits local buyers and distributors, who will be connected with farmers prepared to access larger markets. Ultimately, local communities will have increased access to healthy and culturally diverse foods produced within their region. As a result of this project, farmers will increase knowledge of local value chains and market access points, increase connections with buyers, improve record-keeping, improve market readiness, and improve operational efficiencies through aggregation and distribution.","The Global Growers Local Markets Project aims to expand its sales program by connecting farmers and buyers through a variety of distribution channels, focusing on the development of marketing plans and the facilitation of sales between farmers and local/regional buyers at various scales. This project will result in improvements to aggregation and storage systems at two locations, alongside a refreshed marketing plan based on LFPP Planning Grant recommendations, and the creation of on-farm market access points. Anticipated outcomes include reductions in on-farm food waste, improved use of technology, enhanced food safety practices, and increased viability for small-scale farms. The primary beneficiaries of this project are beginning, small-scale, and historically involved farmers, along with local buyers and distributors who will be connected with producers prepared to access larger markets. The project seeks to strengthen local markets for produce and optimize operational efficiencies through aggregation and distribution. Ultimately, local communities will have increased access to agricultural products produced within their region. By addressing key elements of the supply chain, this initiative seeks to support farmers in expanding their reach and improving their ability to meet market demands."
"Growing Places Garden Project, Inc.",699709.93,"Led by Growing Places, the Local Food Works in North Central MA Local Food Promotion Program project builds on five years of planning and assessment to create an equitable, sustainable, and accessible North Central MA (NCMA) food system that can support the region’s 200 small and medium sized farms, address high rates of food insecurity and nutrition related chronic diseases, and strengthen the local economy via a regional food value chain.
    The project is founded on a NCMA food system feasibility study, Regional Food Center operating model and business plan, and strategic plan that were developed with input from 130 diverse community partners that comprise the Local Food Works-NCMA Coalition. Key project activities seek to 1) build a robust mid-tier value chain through a new regional food processing center; 2) support local farmers and small food businesses to expand to new market channels; and 3) develop a coordinated and accessible marketing and promotion system with supportive purchasing technology.
     As a result of project activities, primary project deliverables and outcomes during the grant period include:
•	10 new market channels/65 market access points participating in Local Food Works Regional Food Center’s (LFW-RFC) distribution system
•	45 NCMA farmers reach new market channels through the LFW-RFC
•	15 small food business microenterprises reach new market channels through the LFW-RFC and support the Center’s growth via kitchen rentals for product production
•	2,370 consumers purchase/receive locally produced agricultural products from the LFW-RFC generating an additional $753,131 in sales
•	71 food and agriculture jobs created or maintained because of the LFW-RFC       
     In addition to short- and medium-term outcomes, the project will bolster the NCMA food system to strengthen the local food economy, increase equitable healthy food access for households that suffer from disproportionate rates of nutrition related chronic diseases, and improve the quality of life of NCMA farmers and small food businesses.
   The three main primary beneficiaries of this project other that Growing Places who serves as the mid-tier enterprise are NCMA farmers focusing on those who are small and historically underserved; small food businesses; and consumers focusing on those who are food insecure although all will benefit. Each will achieve short term benefits related to knowledge, awareness, skills, and access as well as long-term benefits related to financial gains/savings and improvements in health and quality of life.
    To achieve project objectives, Local Food Works in North Central MA is centered on community collaboration and collective impact through the Local Food Works Steering Committee and broader Coalition. Towards this end, the project engages farmer-based organizations (Central Mass Grown and the Montachusett Agricultural Alliance) to recruit and embed a strong farmers voice within all project activities; HEAL, a youth and resident driven coalition focused on economic empowerment and healthy food access that will support consumer and small food business engagement; the North Central MA Health Equity Partnership (CHNA9) to engage NCMA’s anchor institutions to ‘buy local’ via its anchor collaborative; the United Way of North Central MA to recruit local food pantries to increase local purchasing from the LFW-RFC; the North Central MA Chamber of Commerce to promote the project to local food buyers and entrepreneurs; local schools, colleges and healthcare systems to support local purchasing at the institutional and consumer levels; and NCMA municipalities and the Community Foundation to promote the project and leverage resources for the Regional Food Center’s continued growth and expansion. Also supporting the project are consultants with expertise in food safety, product development, business development, and communication who will build capacity of partners to create a sustainable NCMA food value chain.","Growing Places’ Local Food Works in North Central MA Local Food Promotion Program project aims to develop a sustainable regional food system within the North Central Massachusetts (NCMA) area, supporting approximately 200 small to medium-sized farms and addressing food insecurity while strengthening the local economy. This project will establish a new regional food processing center, a key component of the initiative, alongside the expansion of market channels, ultimately resulting in an anticipated 2,370 consumers purchasing products from the Local Food Works Regional Food Center (LFW-RFC), generating an additional $753,131 in sales and creating 71 food and agriculture jobs. The primary beneficiaries of this project include farmers, ranchers, processors, and other stakeholders within the NCMA region, with a focus on expanding access to local agricultural products for consumers, particularly those experiencing food insecurity. The LFW-RFC is projected to establish 10 new market channels, connecting approximately 45 NCMA farmers to expanded market opportunities and supporting the growth of 15 small food business microenterprises through kitchen rentals.  Furthermore, the project will engage anchor institutions, such as hospitals and schools, to prioritize purchasing local food products, bolstering the regional food value chain.  Through partnerships with the United Way of North Central MA and the Community Foundation, the LFW-RFC will increase local purchasing from food pantries and leverage resources for the Regional Food Center’s continued growth and expansion, facilitating a more robust and resilient food system for the North Central Massachusetts region."
